source,target,Typ,label,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
niskanen center,liberty league,Undirected,alexander mccobin,convinced of agw,usa,north america,,uk,europe,TRUE,TRUE
american energy freedom center,american legislative exchange council,Undirected,alexandra liddy bourne,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
commonwealth foundation for public policy alternatives,western economic association international,Undirected,allan h. meltzer,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
ludwig von mises institute,tobacco institute,Undirected,allen dalton,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
campaign for fighting diseases,institut constant de rebecque,Undirected,alphonse crespo,,uk,europe,,switzerland,europe,TRUE,FALSE
american tradition institute,the energy environment legal institute,Undirected,amy oliver cooke,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
insitute for energy research,property and environment research center,Undirected,andrew p. morriss,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
doctors for disaster preparedness,independent womens forum,Undirected,angela logomasini,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
legatum institute,opinio,Undirected,anne applebaum,unconvinced of agw,usa,north america,,unknown,unknown,TRUE,TRUE
clexit,open klimaat,Undirected,anne debeil,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
clexit,société eur ingénieurs et industriels,Undirected,anne debeil,unconvinced of agw,usa,north america,,france,europe,TRUE,TRUE
open klimaat,société eur ingénieurs et industriels,Undirected,anne debeil,unconvinced of agw,belgium,europe,,france,europe,TRUE,FALSE
future of freedom foundation,campaign for liberty,Undirected,anthony gregory,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
scientific alliance,sense about science,Undirected,anthony trewavas,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
forces,institute of economic affairs,Undirected,antonio martino,,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
forces,social affairs unit,Undirected,antonio martino,,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
forces,mont pelerin society,Undirected,antonio martino,,usa,north america,,global,global,TRUE,TRUE
institute of economic affairs,social affairs unit,Undirected,antonio martino,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,FALSE,FALSE
institute of economic affairs,mont pelerin society,Undirected,antonio martino,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
social affairs unit,mont pelerin society,Undirected,antonio martino,unconvinced of agw,uk,europe,,global,global,TRUE,TRUE
civitas,freedom organisation for the right to enjoy smoking tobacco,Undirected,antony flew,,uk,europe,,uk,europe,FALSE,FALSE
center for energy and economic development,illinois coal association,Undirected,arch coal,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
john locke institute,institute of economic affairs,Undirected,armen alchian,,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
john locke institute,mont pelerin society,Undirected,arthur seldon,,usa,north america,,global,global,TRUE,TRUE
freedom foundation,washington policy center,Undirected,barbara kenney,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute for research in economics and fiscal issues,austrian economics center,Undirected,barbara kolm,unconvinced of agw,france,europe,unconvinced of agw,austria,europe,TRUE,FALSE
institute for research in economics and fiscal issues,hayek institut,Undirected,barbara kolm,unconvinced of agw,france,europe,unconvinced of agw,austria,europe,TRUE,FALSE
institute for research in economics and fiscal issues,european coalition for economic growth,Undirected,barbara kolm,unconvinced of agw,france,europe,unconvinced of agw,global,global,TRUE,TRUE
austrian economics center,hayek institut,Undirected,barbara kolm,unconvinced of agw,austria,europe,unconvinced of agw,austria,europe,FALSE,FALSE
austrian economics center,european coalition for economic growth,Undirected,barbara kolm,unconvinced of agw,austria,europe,unconvinced of agw,global,global,TRUE,TRUE
hayek institut,european coalition for economic growth,Undirected,barbara kolm,unconvinced of agw,austria,europe,unconvinced of agw,global,global,TRUE,TRUE
americans for prosperity,independence institute,Undirected,barry poulson,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
americans for prosperity,james madison institute,Undirected,barry poulson,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
americans for prosperity,tobacco institute,Undirected,barry poulson,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
independence institute,james madison institute,Undirected,barry poulson,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
independence institute,tobacco institute,Undirected,barry poulson,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
james madison institute,tobacco institute,Undirected,barry poulson,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
ludwig von mises institute,national association of scholars,Undirected,barry smith,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center for european renewal,opinio,Undirected,bart jan spruyt,,netherlands,europe,,unknown,unknown,TRUE,TRUE
energy research centre of the netherlands,planbureau voor de leefomgeving,Undirected,bart verheggen,,netherlands,europe,convinced of agw,netherlands,europe,FALSE,FALSE
american environmental coalition,council for national policy,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,defenders of property rights,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,phillips foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,the american conservative union foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,virginia institute for public policy,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american environmental coalition,young americas foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
council for national policy,defenders of property rights,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,phillips foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,the american conservative union foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,virginia institute for public policy,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
council for national policy,young americas foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
defenders of property rights,phillips foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
defenders of property rights,the american conservative union foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
defenders of property rights,virginia institute for public policy,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
defenders of property rights,young americas foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
phillips foundation,the american conservative union foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
phillips foundation,virginia institute for public policy,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
phillips foundation,young americas foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
the american conservative union foundation,virginia institute for public policy,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
the american conservative union foundation,young americas foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
virginia institute for public policy,young americas foundation,Undirected,becky norton dunlop,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
bruges group,institute of economic affairs,Undirected,ben roberts,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,FALSE,FALSE
goldwater institute,wyoming liberty group,Undirected,benjamin barr,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
beacon hill institute,ludwig von mises institute,Undirected,benjamin powell,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
consumer alert,manhattan institute for policy research,Undirected,benjamin zycher,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
the global warming policy foundation,scientific alliance,Undirected,benny peiser,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,FALSE,FALSE
antibuerokratieteam.net,deutsche meteorologische gesellschaft,Undirected,berlin,unconvinced of agw,germany,europe,convinced of agw,germany,europe,FALSE,FALSE
clingendael institute,institut de formation politique,Undirected,bernard,,netherlands,europe,,france,europe,TRUE,FALSE
"environmental conservation organization, inc.",freedom21,Undirected,bert n. smith,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
citizens for a sound economy,freedomworks,Undirected,bill jaeger,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
post carbon institute,west coast climate equity association,Undirected,bill mckibben,convinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
mannkal economic foundation,mannkal economic research foundation,Undirected,bill stacey,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,FALSE,FALSE
the libertarian alliance,freedom organisation for the right to enjoy smoking tobacco,Undirected,bill thompson,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
new zealand climate education trust,the galileo movement,Undirected,bob carter,unconvinced of agw,new zealand,oceania,unconvinced of agw,australia,oceania,TRUE,FALSE
new zealand climate education trust,repeal the act!,Undirected,bob carter,unconvinced of agw,new zealand,oceania,unconvinced of agw,uk,europe,TRUE,TRUE
the galileo movement,repeal the act!,Undirected,bob carter,unconvinced of agw,australia,oceania,unconvinced of agw,uk,europe,TRUE,TRUE
american legislative exchange council,freedom foundation,Undirected,bob williams,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american policy center,doctors for disaster preparedness,Undirected,bonner cohen,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american policy center,national center for public policy research,Undirected,bonner cohen,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american policy center,lexington institute,Undirected,bonner cohen,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
doctors for disaster preparedness,national center for public policy research,Undirected,bonner cohen,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
doctors for disaster preparedness,lexington institute,Undirected,bonner cohen,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
national center for public policy research,lexington institute,Undirected,bonner cohen,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for humane studies,frederic bastiat stichting,Undirected,boudewijn r. a. bouckaert,unconvinced of agw,usa,north america,,netherlands,europe,TRUE,TRUE
claremont institute,national association of scholars,Undirected,bradley c. s. watson,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
claremont institute,philadelphia society,Undirected,bradley c. s. watson,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
national association of scholars,philadelphia society,Undirected,bradley c. s. watson,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
national taxpayers union,niskanen center,Undirected,brandon arnold,unconvinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
foundation for economic education,murray rothbard instituut,Undirected,brecht arnaert,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
foundation for economic education,libera!,Undirected,brecht arnaert,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
foundation for economic education,ludwig von mises institute europe,Undirected,brecht arnaert,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
foundation for economic education,res publica,Undirected,brecht arnaert,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
murray rothbard instituut,libera!,Undirected,brecht arnaert,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
murray rothbard instituut,ludwig von mises institute europe,Undirected,brecht arnaert,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
murray rothbard instituut,res publica,Undirected,brecht arnaert,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
libera!,ludwig von mises institute europe,Undirected,brecht arnaert,,belgium,europe,,belgium,europe,FALSE,FALSE
libera!,res publica,Undirected,brecht arnaert,,belgium,europe,,belgium,europe,FALSE,FALSE
ludwig von mises institute europe,res publica,Undirected,brecht arnaert,,belgium,europe,,belgium,europe,FALSE,FALSE
macdonald-laurier institute,atlantic institute for market studies,Undirected,brian ferguson,unconvinced of agw,canada,north america,,canada,north america,FALSE,FALSE
bruges group,ecipe,Undirected,brian hindley,unconvinced of agw,uk,europe,,belgium,europe,TRUE,FALSE
frontier centre for public policy,macdonald-laurier institute,Undirected,brian lee crowley,unconvinced of agw,canada,north america,unconvinced of agw,canada,north america,FALSE,FALSE
frontier centre for public policy,atlantic institute for market studies,Undirected,brian lee crowley,unconvinced of agw,canada,north america,,canada,north america,FALSE,FALSE
frontier centre for public policy,institut turgot,Undirected,brian lee crowley,unconvinced of agw,canada,north america,unconvinced of agw,france,europe,TRUE,TRUE
frontier centre for public policy,initiative for public policy analysis,Undirected,brian lee crowley,unconvinced of agw,canada,north america,unconvinced of agw,nigeria,africa,TRUE,TRUE
macdonald-laurier institute,atlantic institute for market studies,Undirected,brian lee crowley,unconvinced of agw,canada,north america,,canada,north america,FALSE,FALSE
macdonald-laurier institute,institut turgot,Undirected,brian lee crowley,unconvinced of agw,canada,north america,unconvinced of agw,france,europe,TRUE,TRUE
macdonald-laurier institute,initiative for public policy analysis,Undirected,brian lee crowley,unconvinced of agw,canada,north america,unconvinced of agw,nigeria,africa,TRUE,TRUE
atlantic institute for market studies,institut turgot,Undirected,brian lee crowley,,canada,north america,unconvinced of agw,france,europe,TRUE,TRUE
atlantic institute for market studies,initiative for public policy analysis,Undirected,brian lee crowley,,canada,north america,unconvinced of agw,nigeria,africa,TRUE,TRUE
institut turgot,initiative for public policy analysis,Undirected,brian lee crowley,unconvinced of agw,france,europe,unconvinced of agw,nigeria,africa,TRUE,TRUE
the free society,the freedom association,Undirected,brian monteith,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,FALSE,FALSE
independence institute,post carbon institute,Undirected,brian schwartz,unconvinced of agw,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
claremont institute,doctors for disaster preparedness,Undirected,brian t. kennedy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
consumer alert,property and environment research center,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
consumer alert,public interest institute,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
consumer alert,responsible resources,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
consumer alert,the bastiat society,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
consumer alert,association of private enterprise education,Undirected,bruce yandle,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
consumer alert,icrei,Undirected,bruce yandle,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
property and environment research center,public interest institute,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
property and environment research center,responsible resources,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
property and environment research center,the bastiat society,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
property and environment research center,association of private enterprise education,Undirected,bruce yandle,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
property and environment research center,icrei,Undirected,bruce yandle,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
public interest institute,responsible resources,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
public interest institute,the bastiat society,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
public interest institute,association of private enterprise education,Undirected,bruce yandle,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
public interest institute,icrei,Undirected,bruce yandle,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
responsible resources,the bastiat society,Undirected,bruce yandle,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
responsible resources,association of private enterprise education,Undirected,bruce yandle,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
responsible resources,icrei,Undirected,bruce yandle,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
the bastiat society,association of private enterprise education,Undirected,bruce yandle,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
the bastiat society,icrei,Undirected,bruce yandle,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
association of private enterprise education,icrei,Undirected,bruce yandle,,usa,north america,,switzerland,europe,TRUE,TRUE
campus reform,leadership institute,Undirected,bryan bernys,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
virginia institute for public policy,frederic bastiat stichting,Undirected,bryan caplan,unconvinced of agw,usa,north america,,netherlands,europe,TRUE,TRUE
clexit,principia scientific international,Undirected,bryan leyland,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
citizens for a sound economy,federalist society for law and public policy studies,Undirected,c. boyden gray,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
citizens for a sound economy,freedomworks,Undirected,c. boyden gray,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
federalist society for law and public policy studies,freedomworks,Undirected,c. boyden gray,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
global climate coalition,global climate science communications team,Undirected,candace crandall,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
national association of scholars,foundation for individual rights in education,Undirected,candace de russy,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for humane studies,the bastiat society,Undirected,carden,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
state policy network,americans future foundation,Undirected,carl helstrom,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
americans for prosperity,foundation for economic education,Undirected,carl oberg,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute for humane studies,ludwig von mises institute,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
institute for humane studies,forces,Undirected,carlo lottieri,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
institute for humane studies,istituto bruno leoni,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,italy,europe,TRUE,TRUE
institute for humane studies,institut turgot,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
institute for humane studies,institute for economic studies,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
institute for humane studies,murray rothbard instituut,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
institute for humane studies,institut constant de rebecque,Undirected,carlo lottieri,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
institute for humane studies,ludwig von mises institute europe,Undirected,carlo lottieri,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
ludwig von mises institute,forces,Undirected,carlo lottieri,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
ludwig von mises institute,istituto bruno leoni,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,italy,europe,TRUE,TRUE
ludwig von mises institute,institut turgot,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
ludwig von mises institute,institute for economic studies,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
ludwig von mises institute,murray rothbard instituut,Undirected,carlo lottieri,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
ludwig von mises institute,institut constant de rebecque,Undirected,carlo lottieri,unconvinced of agw,usa,north america,,switzerland,europe,TRUE,TRUE
ludwig von mises institute,ludwig von mises institute europe,Undirected,carlo lottieri,unconvinced of agw,usa,north america,,belgium,europe,TRUE,TRUE
forces,istituto bruno leoni,Undirected,carlo lottieri,,usa,north america,unconvinced of agw,italy,europe,TRUE,TRUE
forces,institut turgot,Undirected,carlo lottieri,,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
forces,institute for economic studies,Undirected,carlo lottieri,,usa,north america,unconvinced of agw,france,europe,TRUE,TRUE
forces,murray rothbard instituut,Undirected,carlo lottieri,,usa,north america,unconvinced of agw,belgium,europe,TRUE,TRUE
forces,institut constant de rebecque,Undirected,carlo lottieri,,usa,north america,,switzerland,europe,TRUE,TRUE
forces,ludwig von mises institute europe,Undirected,carlo lottieri,,usa,north america,,belgium,europe,TRUE,TRUE
istituto bruno leoni,institut turgot,Undirected,carlo lottieri,unconvinced of agw,italy,europe,unconvinced of agw,france,europe,TRUE,FALSE
istituto bruno leoni,institute for economic studies,Undirected,carlo lottieri,unconvinced of agw,italy,europe,unconvinced of agw,france,europe,TRUE,FALSE
istituto bruno leoni,murray rothbard instituut,Undirected,carlo lottieri,unconvinced of agw,italy,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
istituto bruno leoni,institut constant de rebecque,Undirected,carlo lottieri,unconvinced of agw,italy,europe,,switzerland,europe,TRUE,FALSE
istituto bruno leoni,ludwig von mises institute europe,Undirected,carlo lottieri,unconvinced of agw,italy,europe,,belgium,europe,TRUE,FALSE
institut turgot,institute for economic studies,Undirected,carlo lottieri,unconvinced of agw,france,europe,unconvinced of agw,france,europe,FALSE,FALSE
institut turgot,murray rothbard instituut,Undirected,carlo lottieri,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
institut turgot,institut constant de rebecque,Undirected,carlo lottieri,unconvinced of agw,france,europe,,switzerland,europe,TRUE,FALSE
institut turgot,ludwig von mises institute europe,Undirected,carlo lottieri,unconvinced of agw,france,europe,,belgium,europe,TRUE,FALSE
institute for economic studies,murray rothbard instituut,Undirected,carlo lottieri,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,TRUE,FALSE
institute for economic studies,institut constant de rebecque,Undirected,carlo lottieri,unconvinced of agw,france,europe,,switzerland,europe,TRUE,FALSE
institute for economic studies,ludwig von mises institute europe,Undirected,carlo lottieri,unconvinced of agw,france,europe,,belgium,europe,TRUE,FALSE
murray rothbard instituut,institut constant de rebecque,Undirected,carlo lottieri,unconvinced of agw,belgium,europe,,switzerland,europe,TRUE,FALSE
murray rothbard instituut,ludwig von mises institute europe,Undirected,carlo lottieri,unconvinced of agw,belgium,europe,,belgium,europe,FALSE,FALSE
institut constant de rebecque,ludwig von mises institute europe,Undirected,carlo lottieri,,switzerland,europe,,belgium,europe,TRUE,FALSE
istituto bruno leoni,icrei,Undirected,carlo stagnaro,unconvinced of agw,italy,europe,,switzerland,europe,TRUE,FALSE
campaign against climate change,spinwatch,Undirected,caroline lucas,convinced of agw,uk,europe,convinced of agw,europe,europe,TRUE,FALSE
goldwater institute,maryland public policy institute,Undirected,carrie l. lukas,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
goldwater institute,independent womens forum,Undirected,carrie l. lukas,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
