person;organisation;wiki_page;cat_agw_opinion;cat_occupation;cat_relgion_opinion;cat_topic;Page_Link
Grover Norquist;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
Grover Norquist;Americans for Tax Reform;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Americans_for_Tax_Reform
Grover Norquist;Council for National Policy;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Council_for_National_Policy
Grover Norquist;Hispanic Leadership Fund;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hispanic_Leadership_Fund
Grover Norquist;Niskanen Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Niskanen_Center
Morton C. Blackwell;American Civil Rights Union;from_org_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Civil_Rights_Union
Morton C. Blackwell;Free Congress Foundation;from_org_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Free_Congress_Foundation
Morton C. Blackwell;The American Conservative Union Foundation;from_org_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_American_Conservative_Union_Foundation
J. William Lauderback;American Conservative Union;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Conservative_Union
Margo Thorning;American Council for Capital Formation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Council_for_Capital_Formation
Margo Thorning;International Council for Capital Formation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=International_Council_for_Capital_Formation
Margo Thorning;International Counsil for Capital Formation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=International_Counsil_for_Capital_Formation
Daniel R. Simmons;American Energy Alliance;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Energy_Alliance
Daniel R. Simmons;Insitute for Energy Research;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Insitute_for_Energy_Research
George F. Allen;American Energy Freedom Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Energy_Freedom_Center
Alexandra Liddy Bourne;American Energy Freedom Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Energy_Freedom_Center
Alexandra Liddy Bourne;American Legislative Exchange Council;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Legislative_Exchange_Council
Mitt Romney;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
George Landrith;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
Pat Robertson;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
Pat Robertson;Council for National Policy;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Council_for_National_Policy
Jay Richards;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
Amy Ridenour;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
Jim Martin;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
Doug Bandow;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
Doug Bandow;Virginia Institute for Public Policy;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Virginia_Institute_for_Public_Policy
Becky Norton Dunlop;American Environmental Coalition;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Environmental_Coalition
Becky Norton Dunlop;Council for National Policy;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Council_for_National_Policy
Becky Norton Dunlop;Defenders of Property Rights;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Defenders_of_Property_Rights
Becky Norton Dunlop;Phillips Foundation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Phillips_Foundation
Becky Norton Dunlop;The American Conservative Union Foundation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_American_Conservative_Union_Foundation
Becky Norton Dunlop;Virginia Institute for Public Policy;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Virginia_Institute_for_Public_Policy
Becky Norton Dunlop;Young America's Foundation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Young_America%27s_Foundation
Bryan Fischer;American Family Association;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Family_Association
Raymond G. Bohlin;American Institute for Technology and Science Education;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Institute_for_Technology_and_Science_Education
William A. Dembski;American Institute for Technology and Science Education;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Institute_for_Technology_and_Science_Education
Nicholas Drapela;American Institute for Technology and Science Education;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Institute_for_Technology_and_Science_Education
Noble Ellington;American Legislative Exchange Council;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Legislative_Exchange_Council
Stephen Moore;American Legislative Exchange Council;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Legislative_Exchange_Council
Stephen Moore;Goldwater Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Goldwater_Institute
Stephen Moore;Institute for Policy Innovation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institute_for_Policy_Innovation
Stephen Moore;Niskanen Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Niskanen_Center
Mike Flynn;American Legislative Exchange Council;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Legislative_Exchange_Council
Jack N. Gerard;American Petroleum Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Petroleum_Institute
H. Leighton Steward;American Petroleum Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Petroleum_Institute
H. Leighton Steward;Institute for the Study of Earth and Man;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institute_for_the_Study_of_Earth_and_Man
H. Leighton Steward;The Right Climate Stuff;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_Right_Climate_Stuff
Philip Cooney;American Petroleum Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Petroleum_Institute
John Meredith;American Policy Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Policy_Center
John Meredith;The National Leadership Network of Black Conservatives;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_National_Leadership_Network_of_Black_Conservatives
Alan Caruba;American Policy Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Policy_Center
Alan Caruba;Center for the Defense of Free Enterprise;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Center_for_the_Defense_of_Free_Enterprise
Alan Caruba;Principia Scientific International;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Principia_Scientific_International
Alan Caruba;Sovereignty International;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Sovereignty_International
Paul Chesser;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Paul Chesser;Commonwealth Foundation for Public Policy Alternatives;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Commonwealth_Foundation_for_Public_Policy_Alternatives
Paul Chesser;National Legal and Policy Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=National_Legal_and_Policy_Center
Tom Tanton;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Tom Tanton;The Energy & Environment Legal Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_Energy_%26_Environment_Legal_Institute
John Droz, Jr.;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Todd Myers;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Todd Myers;Washington Policy Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Washington_Policy_Center
Steve Milloy;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Steve Milloy;Global Climate Science Communications Team;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Global_Climate_Science_Communications_Team
Steve Milloy;The Energy & Environment Legal Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_Energy_%26_Environment_Legal_Institute
Rich Porter;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Jenna Ashley Robinson;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Jenna Ashley Robinson;John William Pope Center for Higher Education Policy;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_William_Pope_Center_for_Higher_Education_Policy
Jenna Ashley Robinson;The Energy & Environment Legal Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_Energy_%26_Environment_Legal_Institute
Amy Oliver Cooke;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Amy Oliver Cooke;The Energy & Environment Legal Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_Energy_%26_Environment_Legal_Institute
Joe Bastardi;American Tradition Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=American_Tradition_Institute
Joe Bastardi;Principia Scientific International;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Principia_Scientific_International
Joe Bastardi;WeatherBell;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=WeatherBell
Edward H. Crane;Americans for Limited Government;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Americans_for_Limited_Government
James Valvo;Americans for Prosperity;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Americans_for_Prosperity
Michelle L. Korsmo;Americans for Prosperity;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Americans_for_Prosperity
Art Pope;Americans for Prosperity;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Americans_for_Prosperity
Achim Hecht;Antibuerokratieteam.net;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Antibuerokratieteam.net
Oliver Marc Hartwich;Antibuerokratieteam.net;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Antibuerokratieteam.net
Oliver Marc Hartwich;Berlin Manhattan Institut für Unternehmerische Freiheit e.V.;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Berlin_Manhattan_Institut_f%C3%BCr_Unternehmerische_Freiheit_e.V.
Sascha Tamm;Antibuerokratieteam.net;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Antibuerokratieteam.net
Sascha Tamm;Berlin Manhattan Institut für Unternehmerische Freiheit e.V.;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Berlin_Manhattan_Institut_f%C3%BCr_Unternehmerische_Freiheit_e.V.
Manfred Messmer;Antibuerokratieteam.net;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Antibuerokratieteam.net
Daniel Drungels;Antibuerokratieteam.net;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Antibuerokratieteam.net
Sigurd Schulien;Arbeitsgemeinschaft Deutsche Energie- und Wirtschaftspolitik;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Arbeitsgemeinschaft_Deutsche_Energie-_und_Wirtschaftspolitik
Rainer Six;Arbeitsgemeinschaft Energie und Umwelt NRW;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Arbeitsgemeinschaft_Energie_und_Umwelt_NRW
Friedrich Wilhelm Peppler;Arbeitsgemeinschaft für eine windradfreie Heimat e. V.;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Arbeitsgemeinschaft_f%C3%BCr_eine_windradfreie_Heimat_e._V.
Ulrich Kull;Arbeitsgemeinschaft für eine windradfreie Heimat e. V.;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Arbeitsgemeinschaft_f%C3%BCr_eine_windradfreie_Heimat_e._V.
Ingrid Schlotterbeck;Argo-Verlag;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Argo-Verlag
Pieter Stuurman;Argusoog;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Argusoog
John Moser;Ashbrook Center for Public Affairs;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ashbrook_Center_for_Public_Affairs
Justin Paulette;Ashbrook Center for Public Affairs;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ashbrook_Center_for_Public_Affairs
Steven F. Hayward;Ashbrook Center for Public Affairs;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ashbrook_Center_for_Public_Affairs
Steven F. Hayward;Center of the American Experiment;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Center_of_the_American_Experiment
Steven F. Hayward;Claremont Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Claremont_Institute
Steven F. Hayward;Insitute for Energy Research;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Insitute_for_Energy_Research
Steven F. Hayward;Mont Pelerin Society;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mont_Pelerin_Society
Steven F. Hayward;National Tax Limitation Committee;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=National_Tax_Limitation_Committee
Steven F. Hayward;Philadelphia Society;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Philadelphia_Society
Steven F. Hayward;Property and Environment Research Center;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Property_and_Environment_Research_Center
Kenitiro Suguio;Associação Brasileira de Estudos do Quaternario;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Associa%C3%A7%C3%A3o_Brasileira_de_Estudos_do_Quaternario
Tom Price;Association of American Physicians and Surgeons;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Association_of_American_Physicians_and_Surgeons
Jeff Ray Clark;Association of Private Enterprise Education;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Association_of_Private_Enterprise_Education
Gordon Tullock;Association of Private Enterprise Education;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Association_of_Private_Enterprise_Education
Gordon Tullock;Goldwater Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Goldwater_Institute
Gordon Tullock;Institute for Policy Innovation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institute_for_Policy_Innovation
Gordon Tullock;John Locke Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=John_Locke_Institute
Gordon Tullock;Public Interest Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Public_Interest_Institute
Gordon Tullock;Western Economic Association International;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Western_Economic_Association_International
Peter J. Boettke;Association of Private Enterprise Education;from_org_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Association_of_Private_Enterprise_Education
Peter J. Boettke;Institute for Humane Studies;from_org_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institute_for_Humane_Studies
Peter J. Boettke;Southern Economic Association;from_org_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Southern_Economic_Association
Peter J. Boettke;Virginia Institute for Public Policy;from_org_page;;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Virginia_Institute_for_Public_Policy
Gabriel Calzada;Association of Private Enterprise Education;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Association_of_Private_Enterprise_Education
Gabriel Calzada;Institut Économique Molinari;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institut_%C3%89conomique_Molinari
Henri Lepage;Association pour la liberté économique et le progrès social;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Association_pour_la_libert%C3%A9_%C3%A9conomique_et_le_progr%C3%A8s_social
Henri Lepage;Eurolibnetwork;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Eurolibnetwork
Henri Lepage;Institut Hayek;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institut_Hayek
Henri Lepage;Institut Turgot;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institut_Turgot
Henri Lepage;Instituto De Libre Empresa;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Instituto_De_Libre_Empresa
Henri Lepage;La Main Invisible;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=La_Main_Invisible
Henri Lepage;Libertarian International;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Libertarian_International
Henri Lepage;Ludwig von Mises Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ludwig_von_Mises_Institute
Henri Lepage;Mont Pelerin Society;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mont_Pelerin_Society
Henri Lepage;The Global Warming Policy Foundation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=The_Global_Warming_Policy_Foundation
Pascal Salin;Association pour la liberté économique et le progrès social;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Association_pour_la_libert%C3%A9_%C3%A9conomique_et_le_progr%C3%A8s_social
Pascal Salin;FORCES;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=FORCES
Pascal Salin;Institut Constant de Rebecque;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institut_Constant_de_Rebecque
Pascal Salin;La Main Invisible;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=La_Main_Invisible
Pascal Salin;Liberales Institut;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Liberales_Institut
Pascal Salin;Ludwig von Mises Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ludwig_von_Mises_Institute
Pascal Salin;Mont Pelerin Society;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Mont_Pelerin_Society
Jacques Garello;Association pour la liberté économique et le progrès social;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Association_pour_la_libert%C3%A9_%C3%A9conomique_et_le_progr%C3%A8s_social
Jacques Garello;Hayek Institut;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hayek_Institut
Jacques Garello;Institute for Research in Economics and Fiscal Issues;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Institute_for_Research_in_Economics_and_Fiscal_Issues
