connector,organisation_1,organisation_2,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
barbara kolm,institute for research in economics and fiscal issues,austrian economics center,unconvinced of agw,france,europe,unconvinced of agw,austria,europe,1,0
barbara kolm,institute for research in economics and fiscal issues,hayek institut,unconvinced of agw,france,europe,unconvinced of agw,austria,europe,1,0
barbara kolm,institute for research in economics and fiscal issues,european coalition for economic growth,unconvinced of agw,france,europe,unconvinced of agw,global,global,1,1
barbara kolm,austrian economics center,hayek institut,unconvinced of agw,austria,europe,unconvinced of agw,austria,europe,0,0
barbara kolm,austrian economics center,european coalition for economic growth,unconvinced of agw,austria,europe,unconvinced of agw,global,global,1,1
barbara kolm,hayek institut,european coalition for economic growth,unconvinced of agw,austria,europe,unconvinced of agw,global,global,1,1
barry poulson,americans for prosperity,independence institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
barry poulson,americans for prosperity,james madison institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
barry poulson,americans for prosperity,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
barry poulson,independence institute,james madison institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
barry poulson,independence institute,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
barry poulson,james madison institute,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
barry smith,ludwig von mises institute,national association of scholars,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bart jan spruyt,center for european renewal,opinio,,netherlands,europe,,unknown,unknown,1,1
bart verheggen,energy research centre of the netherlands,planbureau voor de leefomgeving,,netherlands,europe,convinced of agw,netherlands,europe,0,0
becky norton dunlop,american environmental coalition,council for national policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,american environmental coalition,defenders of property rights,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,american environmental coalition,phillips foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,american environmental coalition,the american conservative union foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,american environmental coalition,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,american environmental coalition,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
becky norton dunlop,council for national policy,defenders of property rights,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,council for national policy,phillips foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,council for national policy,the american conservative union foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,council for national policy,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,council for national policy,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
becky norton dunlop,defenders of property rights,phillips foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,defenders of property rights,the american conservative union foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,defenders of property rights,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,defenders of property rights,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
becky norton dunlop,phillips foundation,the american conservative union foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,phillips foundation,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,phillips foundation,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
becky norton dunlop,the american conservative union foundation,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
becky norton dunlop,the american conservative union foundation,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
becky norton dunlop,virginia institute for public policy,young americas foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
ben roberts,bruges group,institute of economic affairs,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
benjamin barr,goldwater institute,wyoming liberty group,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
benjamin powell,beacon hill institute,ludwig von mises institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
benjamin zycher,consumer alert,manhattan institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
benny peiser,the global warming policy foundation,scientific alliance,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
berlin,antibuerokratieteam.net,deutsche meteorologische gesellschaft,unconvinced of agw,germany,europe,convinced of agw,germany,europe,0,0
bernard,clingendael institute,institut de formation politique,,netherlands,europe,,france,europe,1,0
bert n. smith,"environmental conservation organization, inc.",freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bill jaeger,citizens for a sound economy,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bill mckibben,post carbon institute,west coast climate equity association,convinced of agw,usa,north america,convinced of agw,usa,north america,0,0
bill stacey,mannkal economic foundation,mannkal economic research foundation,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
bill thompson,the libertarian alliance,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
bob carter,new zealand climate education trust,the galileo movement,unconvinced of agw,new zealand,oceania,unconvinced of agw,australia,oceania,1,0
bob carter,new zealand climate education trust,repeal the act!,unconvinced of agw,new zealand,oceania,unconvinced of agw,uk,europe,1,1
bob carter,the galileo movement,repeal the act!,unconvinced of agw,australia,oceania,unconvinced of agw,uk,europe,1,1
bob williams,american legislative exchange council,freedom foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bonner cohen,american policy center,doctors for disaster preparedness,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bonner cohen,american policy center,national center for public policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bonner cohen,american policy center,lexington institute,unconvinced of agw,usa,north america,,usa,north america,0,0
bonner cohen,doctors for disaster preparedness,national center for public policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bonner cohen,doctors for disaster preparedness,lexington institute,unconvinced of agw,usa,north america,,usa,north america,0,0
bonner cohen,national center for public policy research,lexington institute,unconvinced of agw,usa,north america,,usa,north america,0,0
boudewijn r. a. bouckaert,institute for humane studies,frederic bastiat stichting,unconvinced of agw,usa,north america,,netherlands,europe,1,1
bradley c. s. watson,claremont institute,national association of scholars,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bradley c. s. watson,claremont institute,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bradley c. s. watson,national association of scholars,philadelphia society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
brandon arnold,national taxpayers union,niskanen center,unconvinced of agw,usa,north america,convinced of agw,usa,north america,0,0
brecht arnaert,foundation for economic education,murray rothbard instituut,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,1,1
brecht arnaert,foundation for economic education,libera!,unconvinced of agw,usa,north america,,belgium,europe,1,1
brecht arnaert,foundation for economic education,ludwig von mises institute europe,unconvinced of agw,usa,north america,,belgium,europe,1,1
brecht arnaert,foundation for economic education,res publica,unconvinced of agw,usa,north america,,belgium,europe,1,1
brecht arnaert,murray rothbard instituut,libera!,unconvinced of agw,belgium,europe,,belgium,europe,0,0
brecht arnaert,murray rothbard instituut,ludwig von mises institute europe,unconvinced of agw,belgium,europe,,belgium,europe,0,0
brecht arnaert,murray rothbard instituut,res publica,unconvinced of agw,belgium,europe,,belgium,europe,0,0
brecht arnaert,libera!,ludwig von mises institute europe,,belgium,europe,,belgium,europe,0,0
brecht arnaert,libera!,res publica,,belgium,europe,,belgium,europe,0,0
brecht arnaert,ludwig von mises institute europe,res publica,,belgium,europe,,belgium,europe,0,0
brian ferguson,macdonald-laurier institute,atlantic institute for market studies,unconvinced of agw,canada,north america,,canada,north america,0,0
brian hindley,bruges group,ecipe,unconvinced of agw,uk,europe,,belgium,europe,1,0
brian lee crowley,frontier centre for public policy,macdonald-laurier institute,unconvinced of agw,canada,north america,unconvinced of agw,canada,north america,0,0
brian lee crowley,frontier centre for public policy,atlantic institute for market studies,unconvinced of agw,canada,north america,,canada,north america,0,0
brian lee crowley,frontier centre for public policy,institut turgot,unconvinced of agw,canada,north america,unconvinced of agw,france,europe,1,1
brian lee crowley,frontier centre for public policy,initiative for public policy analysis,unconvinced of agw,canada,north america,unconvinced of agw,nigeria,africa,1,1
brian lee crowley,macdonald-laurier institute,atlantic institute for market studies,unconvinced of agw,canada,north america,,canada,north america,0,0
brian lee crowley,macdonald-laurier institute,institut turgot,unconvinced of agw,canada,north america,unconvinced of agw,france,europe,1,1
brian lee crowley,macdonald-laurier institute,initiative for public policy analysis,unconvinced of agw,canada,north america,unconvinced of agw,nigeria,africa,1,1
brian lee crowley,atlantic institute for market studies,institut turgot,,canada,north america,unconvinced of agw,france,europe,1,1
brian lee crowley,atlantic institute for market studies,initiative for public policy analysis,,canada,north america,unconvinced of agw,nigeria,africa,1,1
brian lee crowley,institut turgot,initiative for public policy analysis,unconvinced of agw,france,europe,unconvinced of agw,nigeria,africa,1,1
brian monteith,the free society,the freedom association,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
brian schwartz,independence institute,post carbon institute,unconvinced of agw,usa,north america,convinced of agw,usa,north america,0,0
brian t. kennedy,claremont institute,doctors for disaster preparedness,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,consumer alert,property and environment research center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,consumer alert,public interest institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,consumer alert,responsible resources,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,consumer alert,the bastiat society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,consumer alert,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
bruce yandle,consumer alert,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
bruce yandle,property and environment research center,public interest institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,property and environment research center,responsible resources,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,property and environment research center,the bastiat society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,property and environment research center,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
bruce yandle,property and environment research center,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
bruce yandle,public interest institute,responsible resources,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,public interest institute,the bastiat society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,public interest institute,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
bruce yandle,public interest institute,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
bruce yandle,responsible resources,the bastiat society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bruce yandle,responsible resources,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
bruce yandle,responsible resources,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
bruce yandle,the bastiat society,association of private enterprise education,unconvinced of agw,usa,north america,,usa,north america,0,0
bruce yandle,the bastiat society,icrei,unconvinced of agw,usa,north america,,switzerland,europe,1,1
bruce yandle,association of private enterprise education,icrei,,usa,north america,,switzerland,europe,1,1
bryan bernys,campus reform,leadership institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
bryan caplan,virginia institute for public policy,frederic bastiat stichting,unconvinced of agw,usa,north america,,netherlands,europe,1,1
bryan leyland,clexit,principia scientific international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
c. boyden gray,citizens for a sound economy,federalist society for law and public policy studies,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
c. boyden gray,citizens for a sound economy,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
c. boyden gray,federalist society for law and public policy studies,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
candace crandall,global climate coalition,global climate science communications team,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
candace de russy,national association of scholars,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
carden,institute for humane studies,the bastiat society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
carl helstrom,state policy network,americans future foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
carl oberg,americans for prosperity,foundation for economic education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
carlo lottieri,institute for humane studies,ludwig von mises institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
carlo lottieri,institute for humane studies,forces,unconvinced of agw,usa,north america,,usa,north america,0,0
carlo lottieri,institute for humane studies,istituto bruno leoni,unconvinced of agw,usa,north america,unconvinced of agw,italy,europe,1,1
carlo lottieri,institute for humane studies,institut turgot,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
carlo lottieri,institute for humane studies,institute for economic studies,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
carlo lottieri,institute for humane studies,murray rothbard instituut,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,1,1
carlo lottieri,institute for humane studies,institut constant de rebecque,unconvinced of agw,usa,north america,,switzerland,europe,1,1
carlo lottieri,institute for humane studies,ludwig von mises institute europe,unconvinced of agw,usa,north america,,belgium,europe,1,1
carlo lottieri,ludwig von mises institute,forces,unconvinced of agw,usa,north america,,usa,north america,0,0
carlo lottieri,ludwig von mises institute,istituto bruno leoni,unconvinced of agw,usa,north america,unconvinced of agw,italy,europe,1,1
carlo lottieri,ludwig von mises institute,institut turgot,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
carlo lottieri,ludwig von mises institute,institute for economic studies,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
carlo lottieri,ludwig von mises institute,murray rothbard instituut,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,1,1
carlo lottieri,ludwig von mises institute,institut constant de rebecque,unconvinced of agw,usa,north america,,switzerland,europe,1,1
carlo lottieri,ludwig von mises institute,ludwig von mises institute europe,unconvinced of agw,usa,north america,,belgium,europe,1,1
carlo lottieri,forces,istituto bruno leoni,,usa,north america,unconvinced of agw,italy,europe,1,1
carlo lottieri,forces,institut turgot,,usa,north america,unconvinced of agw,france,europe,1,1
carlo lottieri,forces,institute for economic studies,,usa,north america,unconvinced of agw,france,europe,1,1
carlo lottieri,forces,murray rothbard instituut,,usa,north america,unconvinced of agw,belgium,europe,1,1
carlo lottieri,forces,institut constant de rebecque,,usa,north america,,switzerland,europe,1,1
carlo lottieri,forces,ludwig von mises institute europe,,usa,north america,,belgium,europe,1,1
carlo lottieri,istituto bruno leoni,institut turgot,unconvinced of agw,italy,europe,unconvinced of agw,france,europe,1,0
carlo lottieri,istituto bruno leoni,institute for economic studies,unconvinced of agw,italy,europe,unconvinced of agw,france,europe,1,0
carlo lottieri,istituto bruno leoni,murray rothbard instituut,unconvinced of agw,italy,europe,unconvinced of agw,belgium,europe,1,0
carlo lottieri,istituto bruno leoni,institut constant de rebecque,unconvinced of agw,italy,europe,,switzerland,europe,1,0
carlo lottieri,istituto bruno leoni,ludwig von mises institute europe,unconvinced of agw,italy,europe,,belgium,europe,1,0
carlo lottieri,institut turgot,institute for economic studies,unconvinced of agw,france,europe,unconvinced of agw,france,europe,0,0
carlo lottieri,institut turgot,murray rothbard instituut,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,1,0
carlo lottieri,institut turgot,institut constant de rebecque,unconvinced of agw,france,europe,,switzerland,europe,1,0
carlo lottieri,institut turgot,ludwig von mises institute europe,unconvinced of agw,france,europe,,belgium,europe,1,0
carlo lottieri,institute for economic studies,murray rothbard instituut,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,1,0
carlo lottieri,institute for economic studies,institut constant de rebecque,unconvinced of agw,france,europe,,switzerland,europe,1,0
carlo lottieri,institute for economic studies,ludwig von mises institute europe,unconvinced of agw,france,europe,,belgium,europe,1,0
carlo lottieri,murray rothbard instituut,institut constant de rebecque,unconvinced of agw,belgium,europe,,switzerland,europe,1,0
carlo lottieri,murray rothbard instituut,ludwig von mises institute europe,unconvinced of agw,belgium,europe,,belgium,europe,0,0
carlo lottieri,institut constant de rebecque,ludwig von mises institute europe,,switzerland,europe,,belgium,europe,1,0
carlo stagnaro,istituto bruno leoni,icrei,unconvinced of agw,italy,europe,,switzerland,europe,1,0
caroline lucas,campaign against climate change,spinwatch,convinced of agw,uk,europe,convinced of agw,europe,europe,1,0
carrie l. lukas,goldwater institute,maryland public policy institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
carrie l. lukas,goldwater institute,independent womens forum,unconvinced of agw,usa,north america,,usa,north america,0,0
carrie l. lukas,maryland public policy institute,independent womens forum,unconvinced of agw,usa,north america,,usa,north america,0,0
cavaney,american council for capital formation,american petroleum institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
chandran kukathas,ludwig von mises institute,institute of economic affairs,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
charles anderson,principia scientific international,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
charles b. blankart,liberales institut,berlin manhattan institut für unternehmerische freiheit e.v.,unconvinced of agw,switzerland,europe,unconvinced of agw,germany,europe,1,0
charles blankart,institut constant de rebecque,alternative für deutschland,,switzerland,europe,,germany,europe,1,0
charles g. koch,berkeley earth surface temperature study,mont pelerin society,convinced of agw,usa,north america,,global,global,1,1
charles j. cooper,american civil rights union,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
charles k. rowley,ludwig von mises institute,john locke institute,unconvinced of agw,usa,north america,,usa,north america,0,0
charles r. kesler,ashbrook center for public affairs,claremont institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
charles r. kesler,ashbrook center for public affairs,bill of rights institute,unconvinced of agw,usa,north america,,usa,north america,0,0
charles r. kesler,claremont institute,bill of rights institute,unconvinced of agw,usa,north america,,usa,north america,0,0
charles van eaton,mackinac center for public policy,tennessee center for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
charles w. jarvis,council for national policy,defenders of property rights,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
chester e. finn,national association of scholars,philanthropy roundtable,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
chiaki nishiyama,institute of economic affairs,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
chris snowdon,institute of economic affairs,the free society,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
chris tame,forces,freedom organisation for the right to enjoy smoking tobacco,,usa,north america,,uk,europe,1,1
christina hoff sommers,center of the american experiment,clare boothe luce policy institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
christina hoff sommers,center of the american experiment,national association of scholars,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
christina hoff sommers,center of the american experiment,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
christina hoff sommers,clare boothe luce policy institute,national association of scholars,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
christina hoff sommers,clare boothe luce policy institute,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
christina hoff sommers,national association of scholars,foundation for individual rights in education,unconvinced of agw,usa,north america,,usa,north america,0,0
christina jeffrey,ludwig von mises institute,national association of scholars,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
christopher,stichting meer vrijheid,wir,unconvinced of agw,netherlands,europe,unconvinced of agw,germany,europe,1,0
christopher c. horner,american tradition institute,european enterprise institute,unconvinced of agw,usa,north america,unconvinced of agw,europe,europe,1,1
christopher flannery,ashbrook center for public affairs,claremont institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
christopher monckton,the galileo movement,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
christopher monckton,the galileo movement,independent committee on geoethics,unconvinced of agw,australia,oceania,unconvinced of agw,uk,europe,1,1
christopher monckton,the galileo movement,eike,unconvinced of agw,australia,oceania,unconvinced of agw,germany,europe,1,1
christopher monckton,clexit,independent committee on geoethics,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
christopher monckton,clexit,eike,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
christopher monckton,independent committee on geoethics,eike,unconvinced of agw,uk,europe,unconvinced of agw,germany,europe,1,0
christopher roberts,philanthropy roundtable,ecipe,unconvinced of agw,usa,north america,,belgium,europe,1,1
claire fox,institute of ideas,the free society,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
claire fox,institute of ideas,economic policy centre,unconvinced of agw,uk,europe,,uk,europe,0,0
claire fox,the free society,economic policy centre,unconvinced of agw,uk,europe,,uk,europe,0,0
claude moniquet,atlantis institute,institut hayek,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,1,1
cliff kincaid,accuracy in media,doctors for disaster preparedness,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
cliff kincaid,accuracy in media,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
cliff kincaid,accuracy in media,americans survival,unconvinced of agw,usa,north america,,usa,north america,0,0
cliff kincaid,doctors for disaster preparedness,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
